name,category_key,category,address,addr:street,addr:housenumber,addr:postcode,addr:city,addr:suburb,lat,lon,xbt,btc,onchain,lightning,payment:lightning_contactless,opening_hours,website,phone,survey:date,check_date,osm_type,osm_id,osm_url
A.C.T. Computer TEAM,shop,computer,"Wendenschloßstraße 366, 12557 Berlin",Wendenschloßstraße,366,12557,Berlin,,52.4246474,13.5856438,True,,True,True,no,Mo-Fr 09:00-17:00,https://www.act-computer.de,+49 30 81 85 99 01,,2025-05-23,node,12853222862,https://www.openstreetmap.org/node/12853222862
All the Colors,shop,hairdresser,"Bötzowstraße 28, 10407 Berlin",Bötzowstraße,28,10407,Berlin,,52.531497,13.4341735,True,,True,True,no,Mo-Sa 09:00-19:00,https://www.allthecolorsberlin.de/,+49 30 13897404,,2025-06-07,node,7069855803,https://www.openstreetmap.org/node/7069855803
AndresEDV & Consulting,office,it,"Jugendweg 1, 13629 Berlin",Jugendweg,1,13629,Berlin,,52.537711,13.2647765,True,,True,True,no,,https://www.andresedv.de/,+49 30 89561674,,2024-12-06,node,12400272704,https://www.openstreetmap.org/node/12400272704
Atheist Shoes,shop,shoes,,,,,Berlin,,52.525194,13.402099,True,,True,True,,"Mo 11:00-14:30,15:00-18:30; Tu,We-Fr 11:30-14:30,15:00-19:00; Sa 11:30-18:00; Su, PH off",https://atheist.shoes/,,,2024-12-01,node,4970428921,https://www.openstreetmap.org/node/4970428921
B-touched Yoga by Bianca,leisure,fitness_centre,"Königsbacher Zeile 23, 13465 Berlin",Königsbacher Zeile,23,13465,Berlin,,52.6402199,13.295109,True,,True,False,no,,https://b-touched-yoga.com/,+49 176 38747534,,2023-07-22,node,11061882780,https://www.openstreetmap.org/node/11061882780
Barberium,shop,hairdresser,"Boxhagener Straße 59, 10245 Berlin, Friedrichshain",Boxhagener Straße,59,10245,Berlin,Friedrichshain,52.5064668,13.4693373,True,,True,True,no,"Tu-Fr 10:00-19:00, Sa 10:00-17:00",,+49 3068812626,,2024-04-16,node,2935266552,https://www.openstreetmap.org/node/2935266552
C.Translations UG,office,company,"Rankestraße 26, 10789 Berlin, Charlottenburg",Rankestraße,26,10789,Berlin,Charlottenburg,52.502001,13.3335705,True,,True,True,no,,https://www.cengolio.com/,+49 30 20848835,2022-10-22,,node,3675739247,https://www.openstreetmap.org/node/3675739247
Café Holzmarktperle,amenity,cafe,"Holzmarktstraße 25, 10243 Berlin",Holzmarktstraße,25,10243,Berlin,,52.511438,13.4268672,True,,True,True,no,Su-Th 10:30-18:00; Fr-Sa 10:30-19:00,,,2023-07-06,2025-09-30,node,10313585322,https://www.openstreetmap.org/node/10313585322
Chipi Chipi Bombón,amenity,ice_cream,"Warschauer Straße 12, 10243 Berlin, Friedrichshain",Warschauer Straße,12,10243,Berlin,Friedrichshain,52.5131962,13.4525181,True,,True,True,no,"Mo-Th 13:00-23:00; Fr,Sa 13:00-00:00; Su 13:00-23:00",https://www.chipichipibombon.com,+49 30 240 32 446,,2025-12-17,node,9215009717,https://www.openstreetmap.org/node/9215009717
CI Space,office,coworking,"Bugenhagenstraße 9, 10551 Berlin",Bugenhagenstraße,9,10551,Berlin,,52.5280242,13.3417811,True,,False,True,yes,Mo-Sa 10:00-22:00,https://cispace.isaci.com,+4915222157014,2024-06-05,,node,10698030584,https://www.openstreetmap.org/node/10698030584
